trades,win_rate,avg_return,median_return,expectancy,profit_factor,max_drawdown,sharpe,worst_losing_streak,train_trades,train_win_rate,train_avg_return,train_median_return,train_expectancy,train_profit_factor,train_max_drawdown,train_sharpe,train_worst_losing_streak,validation_trades,validation_win_rate,validation_avg_return,validation_median_return,validation_expectancy,validation_profit_factor,validation_max_drawdown,validation_sharpe,validation_worst_losing_streak,oos_trades,oos_win_rate,oos_avg_return,oos_median_return,oos_expectancy,oos_profit_factor,oos_max_drawdown,oos_sharpe,oos_worst_losing_streak,oos_ci_low,oos_ci_high,portfolio_final_equity,portfolio_total_return,portfolio_cagr,portfolio_annualized_volatility,portfolio_sharpe,portfolio_max_drawdown,portfolio_average_positions,portfolio_max_positions_used,portfolio_accepted_trades,portfolio_skipped_trades,oos_portfolio_final_equity,oos_portfolio_total_return,oos_portfolio_cagr,oos_portfolio_annualized_volatility,oos_portfolio_sharpe,oos_portfolio_max_drawdown,oos_portfolio_average_positions,oos_portfolio_max_positions_used,oos_portfolio_accepted_trades,oos_portfolio_skipped_trades,variant_id,drop_threshold,wait_days,hold_days,min_quality_percentile,require_stabilization,neighbor_count,neighbor_positive_fraction,neighbor_oos_return_median,robustness_score
278,0.6474820143884892,0.04968926435573007,0.033311734456924036,0.04968926435573007,3.2948933140991095,-0.7753150216455751,6.813847240128053,8,147,0.6870748299319728,0.06075817091908477,0.04740991348181389,0.06075817091908477,3.8732273599508806,-0.7753150216455751,5.731405151333808,8,71,0.6197183098591549,0.044450021027873626,0.03111828602233835,0.044450021027873626,3.2825501398225314,-0.3446516655012988,3.3834510254401304,4,60,0.5833333333333334,0.02877021454680783,0.005066548217624312,0.02877021454680783,2.1296219311819935,-0.5322142466623695,1.9391776135532823,5,0.004049204466355399,0.06163084513974655,15712.95730837895,0.571295730837895,0.029576357517469898,0.07034370383324501,0.4471485094514571,-0.17940952528960097,0.9163040696186332,8,179,99,10398.128604570324,0.03981286045703247,0.015738873689553845,0.06885731032388835,0.26678380414122677,-0.09278883808310201,1.5555555555555556,7,49,11,753d3c3a53b3,-0.05,2,20,0.5,False,7,1.0,0.023797364186345638,0.9803385416666668
273,0.7142857142857143,0.10572587678212925,0.08628470339854,0.10572587678212925,4.885374418684801,-0.8238376193092549,9.496874615733105,6,147,0.782312925170068,0.13875328524325223,0.13437780761718743,0.13875328524325223,9.001516341456265,-0.5670164540139693,9.42787421690861,4,71,0.6338028169014085,0.05852111903249992,0.04391484255813183,0.05852111903249992,2.703168608579435,-0.8238376193092549,3.153646716026969,6,55,0.6363636363636364,0.07838967235374025,0.04889914747749258,0.07838967235374025,2.7669866176334,-0.7359587199628005,2.710944026791717,5,0.02982245413424121,0.12793197735839584,18351.263105041682,0.8351263105041682,0.03982105491258614,0.0936174539970739,0.4619607292533409,-0.2408097987532185,2.1138335885655946,10,138,135,10536.04119128191,0.053604119128191074,0.020740436501334614,0.08992249534598182,0.2785028127602398,-0.14541244978484957,3.279251170046802,8,35,20,f06d1b9ccbf5,-0.05,0,60,0.5,False,6,0.8333333333333334,0.049496778898725446,0.9644531250000001
285,0.7052631578947368,0.1047755250144784,0.08375430042431475,0.1047755250144784,4.764646561027742,-0.8551631225551712,9.456408080253583,8,150,0.8066666666666666,0.1516968371126127,0.14474407540170975,0.1516968371126127,10.336036371566236,-0.5259000290644951,10.008517577623113,4,80,0.6125,0.04476882479706003,0.03046691113673783,0.04476882479706003,2.262352852628625,-0.8551631225551712,2.703117152045631,8,55,0.5636363636363636,0.06409078324490247,0.039748477788852266,0.06409078324490247,2.326425259970437,-0.7185284139491497,2.2740472721865768,5,0.005458165480999387,0.12223567693131974,18305.191100826185,0.8305191100826186,0.039652951517402224,0.09352832262104482,0.46248406027605843,-0.22002104117940868,2.1904032669729454,10,143,142,10409.944869342908,0.040994486934290864,0.015920212420694746,0.09062975642638817,0.21982215994996407,-0.13769755517409565,3.279251170046802,8,35,20,747d3d0318fe,-0.05,1,60,0.0,False,6,0.8333333333333334,0.0524472490974205,0.9595052083333334
285,0.7017543859649122,0.10325584570705623,0.08530117111110347,0.10325584570705623,4.881593115476975,-0.8057231564793531,9.608849096716337,8,150,0.78,0.1384240237344469,0.13476762727020042,0.1384240237344469,9.120459292679069,-0.5670164540139693,9.569642714172415,4,80,0.6,0.05441100608610348,0.02679535893977003,0.05441100608610348,2.6842509014798797,-0.8057231564793532,3.24542373567594,8,55,0.6363636363636364,0.07838967235374025,0.04889914747749258,0.07838967235374025,2.7669866176334,-0.7359587199628005,2.710944026791717,5,0.028681285056721822,0.13245472766758962,18268.92756087351,0.8268927560873511,0.039520357701533726,0.0943709646218168,0.45595732540936174,-0.24081003655059363,2.1904032669729454,10,143,142,10536.04119128191,0.053604119128191074,0.020740436501334614,0.08992249534598182,0.2785028127602398,-0.14541244978484957,3.279251170046802,8,35,20,4e3bc0aec66c,-0.05,0,60,0.0,False,5,0.8,0.06409078324490247,0.9577864583333334
278,0.6366906474820144,0.04183718021237186,0.03191077495590955,0.04183718021237186,2.5186952667283893,-0.9266803062409894,5.54487286515095,12,147,0.6598639455782312,0.04274242728066795,0.04218675119062498,0.04274242728066795,2.4171152192879477,-0.9266803062409894,3.908713373827799,12,71,0.6619718309859155,0.04582299740321525,0.03151690707647037,0.04582299740321525,3.148269599929478,-0.38125137970196366,3.4058523468953084,5,60,0.55,0.034902774552548414,0.015501868241945327,0.034902774552548414,2.224530692386785,-0.5332029086597859,2.1723850754106238,6,0.002846031103504731,0.061697358036876794,12741.032886577068,0.27410328865770683,0.01574725811610156,0.07095339591084215,0.2531373024319979,-0.22437458422125334,0.9163040696186332,8,179,99,10419.628317584777,0.0419628317584777,0.016578431035109364,0.06709675044144099,0.28592938310953603,-0.08050305841211702,1.5555555555555556,7,49,11,6480b7b974fa,-0.05,0,20,0.5,False,7,0.8571428571428571,0.023797364186345638,0.9543712797619048
285,0.6842105263157895,0.10488974075488681,0.08591961273601167,0.10488974075488681,4.8110887097006305,-0.869768005779367,9.399066083005284,11,150,0.7933333333333333,0.1547498391815895,0.13369169997749064,0.1547498391815895,11.399571393696803,-0.4309383124642093,10.016131033782468,4,80,0.5375,0.04175290819241016,0.022289649140115553,0.04175290819241016,2.1344172982053213,-0.8697680057793669,2.552635493712817,11,55,0.6,0.06074304695475459,0.03946780298495678,0.06074304695475459,2.252512445120535,-0.7135750697293655,2.204425545001368,6,0.010023914315906013,0.11182001163470942,17826.119413313063,0.7826119413313064,0.03788110377674303,0.09325552744826342,0.44353199228368023,-0.20781996839394046,2.1904032669729454,10,143,142,10309.372369979885,0.03093723699798856,0.012050213753627359,0.09191078536015711,0.18025978025189054,-0.1564907180036017,3.279251170046802,8,35,20,8a16e2137ddf,-0.05,2,60,0.0,False,5,0.8,0.060257252848331444,0.9502343750000001
290,0.6379310344827587,0.04190718049551493,0.03352790949080675,0.04190718049551493,2.5596482336116617,-0.9266803062409894,5.76113683408544,12,150,0.6666666666666666,0.043359566951703815,0.042272159819041866,0.043359566951703815,2.4669146339932064,-0.9266803062409894,4.039583105051391,12,80,0.65,0.04443726034738567,0.03160447344453399,0.04443726034738567,3.15680294952639,-0.38125137970196366,3.639692752834529,5,60,0.55,0.034902774552548414,0.015501868241945327,0.034902774552548414,2.224530692386785,-0.5332029086597859,2.1723850754106238,6,0.006635167103075693,0.06674288743089829,12989.23258470339,0.29892325847033896,0.017012033723541764,0.07119451323233489,0.26999955873178416,-0.22437458422125323,0.9572562068082928,8,187,103,10419.628317584777,0.0419628317584777,0.016578431035109364,0.06709675044144099,0.28592938310953603,-0.08050305841211702,1.5555555555555556,7,49,11,0a62007297e5,-0.05,0,20,0.0,False,6,0.8333333333333334,0.02573961477374549,0.9496093750000001
273,0.706959706959707,0.10740377412493854,0.08521820331783869,0.10740377412493854,4.7602878359070315,-0.8611034297180378,9.345114617922814,8,147,0.8027210884353742,0.15230528861225603,0.14308988883967266,0.15230528861225603,10.186013276929009,-0.5259000290644953,9.86496323817861,4,71,0.6197183098591549,0.047990983544182325,0.03296947300890196,0.047990983544182325,2.260673050205548,-0.8611034297180378,2.6075919132837724,8,55,0.5636363636363636,0.06409078324490247,0.039748477788852266,0.06409078324490247,2.326425259970437,-0.7185284139491497,2.2740472721865768,5,0.008337454867537848,0.11375994714849572,18255.52897973593,0.8255528979735929,0.03947130488780304,0.09278014254231749,0.46357865801025955,-0.22002085207716104,2.1138335885655946,10,138,135,10409.944869342908,0.040994486934290864,0.015920212420694746,0.09062975642638817,0.21982215994996407,-0.13769755517409565,3.279251170046802,8,35,20,e4315cbd9379,-0.05,1,60,0.5,False,7,0.7142857142857143,0.0441514512400864,0.9356956845238096
290,0.6482758620689655,0.04966777668856775,0.035314561317857374,0.04966777668856775,3.294388226111866,-0.7753150216455751,6.9882539274351645,8,150,0.6933333333333334,0.06070186101110657,0.04722987138325707,0.06070186101110657,3.9291474377572824,-0.7753150216455751,5.838637042659816,8,80,0.6125,0.0446520401901274,0.0317969810956531,0.0446520401901274,3.176642754397573,-0.34465166550129867,3.5638587309661673,4,60,0.5833333333333334,0.02877021454680783,0.005066548217624312,0.02877021454680783,2.1296219311819935,-0.5322142466623695,1.9391776135532823,5,-0.0009911871970346773,0.05778714592320394,16198.21161264473,0.6198211612644731,0.031598128270079684,0.07056143222524029,0.47379123865240075,-0.17940952528960108,0.9572562068082928,8,187,103,10398.128604570324,0.03981286045703247,0.015738873689553845,0.06885731032388835,0.26678380414122677,-0.09278883808310201,1.5555555555555556,7,49,11,436c1319ceb4,-0.05,2,20,0.0,False,6,1.0,0.026283789366576736,0.9303385416666667
273,0.684981684981685,0.10741801649161163,0.08968303447398818,0.10741801649161163,4.824587055388675,-0.8790011250011981,9.286648221611559,20,147,0.7891156462585034,0.1553474334854092,0.132143465093994,0.1553474334854092,11.230936582713124,-0.4309383124642093,9.87316701867837,4,71,0.5352112676056338,0.044340537990751015,0.022007860020682446,0.044340537990751015,2.1372934771633956,-0.879001125001198,2.450961484581009,20,55,0.6,0.06074304695475459,0.03946780298495678,0.06074304695475459,2.252512445120535,-0.7135750697293655,2.204425545001368,6,0.008706567643786623,0.11327342676888454,17858.653448640544,0.7858653448640545,0.038002832844039824,0.0925405379641272,0.44750838192800724,-0.2078198099214239,2.1138335885655946,10,138,135,10309.372369979885,0.03093723699798856,0.012050213753627359,0.09191078536015711,0.18025978025189054,-0.1564907180036017,3.279251170046802,8,35,20,6a944dda46dc,-0.05,2,60,0.5,False,6,0.6666666666666666,0.04451373369756964,0.9235677083333333
