variant_id,ticker,signal_date,signal_return,quality_percentile,fundamental_source,fundamental_available_date,entry_date,entry_price,exit_date,exit_price,gross_return,net_return,drop_threshold,wait_days,hold_days,min_quality_percentile,require_stabilization
436c1319ceb4,AAPL,2019-01-03,-0.09960735139594357,0.7777777777777778,tenline_sec_annual_conservative,2018-12-31,2019-01-08,35.45507757862409,2019-02-06,41.305782318115234,0.16501740058294323,0.16401740058294323,-0.05,2,20,0.0,False
436c1319ceb4,AAPL,2019-05-13,-0.05811956707039778,0.7777777777777778,tenline_sec_annual_conservative,2018-12-31,2019-05-16,45.38775015951254,2019-06-14,46.064109802246094,0.01490181029807669,0.013901810298076689,-0.05,2,20,0.0,False
436c1319ceb4,AAPL,2019-08-05,-0.05234805416340005,0.7777777777777778,tenline_sec_annual_conservative,2018-12-31,2019-08-08,47.84700892141569,2019-09-06,51.16196441650391,0.06928239757960064,0.06828239757960064,-0.05,2,20,0.0,False
436c1319ceb4,AAPL,2020-02-27,-0.06536826394002737,0.6157407407407408,tenline_sec_annual_conservative,2020-01-26,2020-03-03,73.24381722467581,2020-03-31,61.33359909057617,-0.16261055998167018,-0.16361055998167018,-0.05,2,20,0.0,False
436c1319ceb4,AAPL,2020-03-09,-0.07909145549754726,0.6157407407407408,tenline_sec_annual_conservative,2020-01-26,2020-03-12,61.731574731862445,2020-04-09,64.63796997070312,0.04708117768686293,0.04608117768686293,-0.05,2,20,0.0,False
436c1319ceb4,AAPL,2020-03-12,-0.09875466225021212,0.6157407407407408,tenline_sec_annual_conservative,2020-01-26,2020-03-17,59.69829586216656,2020-04-15,68.60324096679688,0.14916581748313806,0.14816581748313806,-0.05,2,20,0.0,False
436c1319ceb4,AAPL,2020-03-16,-0.12864729725731527,0.6157407407407408,tenline_sec_annual_conservative,2020-01-26,2020-03-19,59.669357314419855,2020-04-17,68.21009826660156,0.14313445521421309,0.14213445521421308,-0.05,2,20,0.0,False
436c1319ceb4,AAPL,2020-03-20,-0.06348542176201633,0.6157407407407408,tenline_sec_annual_conservative,2020-01-26,2020-03-25,60.47975086727184,2020-04-23,66.33596801757812,0.0968293861388132,0.0958293861388132,-0.05,2,20,0.0,False
436c1319ceb4,AAPL,2020-04-01,-0.0526171560497779,0.6157407407407408,tenline_sec_annual_conservative,2020-01-26,2020-04-06,60.51594239996791,2020-05-05,71.7701416015625,0.18597081620595501,0.184970816205955,-0.05,2,20,0.0,False
436c1319ceb4,AAPL,2020-09-03,-0.08006069500538127,0.6157407407407408,tenline_sec_annual_conservative,2020-01-26,2020-09-09,113.641095738678,2020-10-07,111.52838897705078,-0.01859104532470779,-0.01959104532470779,-0.05,2,20,0.0,False
436c1319ceb4,AAPL,2020-09-08,-0.06729501440433605,0.6157407407407408,tenline_sec_annual_conservative,2020-01-26,2020-09-11,111.0341102013086,2020-10-09,113.36004638671876,0.020947942764553806,0.019947942764553805,-0.05,2,20,0.0,False
436c1319ceb4,AAPL,2020-10-30,-0.05601795431850343,0.6157407407407408,tenline_sec_annual_conservative,2020-01-26,2020-11-04,110.61739025769825,2020-12-03,119.35137939453124,0.07895674555769183,0.07795674555769183,-0.05,2,20,0.0,False
436c1319ceb4,AAPL,2026-06-25,-0.06117774105404383,0.6347222222222222,tenline_sec_annual_conservative,2026-01-25,2026-06-30,280.9277417485351,2026-07-29,337.8985900878906,0.20279538070808067,0.20179538070808067,-0.05,2,20,0.0,False
436c1319ceb4,AMZN,2020-03-09,-0.05285383245165354,0.6092592592592593,tenline_sec_annual_conservative,2019-12-31,2020-03-12,86.0989990234375,2020-04-09,102.13800048828124,0.18628557412703106,0.18528557412703106,-0.05,2,20,0.0,False
436c1319ceb4,AMZN,2020-03-12,-0.07922082514747941,0.6092592592592593,tenline_sec_annual_conservative,2019-12-31,2020-03-17,88.77349853515625,2020-04-15,115.38400268554688,0.2997572990756052,0.2987572990756052,-0.05,2,20,0.0,False
436c1319ceb4,AMZN,2020-03-16,-0.053697516604298,0.6092592592592593,tenline_sec_annual_conservative,2019-12-31,2020-03-19,93.0,2020-04-17,118.75,0.2768817204301075,0.2758817204301075,-0.05,2,20,0.0,False
436c1319ceb4,AMZN,2020-05-01,-0.07597409237648933,0.6092592592592593,tenline_sec_annual_conservative,2019-12-31,2020-05-06,116.47200012207033,2020-06-04,123.02999877929688,0.05630536652889395,0.05530536652889395,-0.05,2,20,0.0,False
