policy_rank,variant_id,family,base_config_json,stop_loss,take_profit,leverage,max_positions,train_final_equity,train_total_return,train_cagr,train_sharpe,train_max_drawdown,train_trades,train_traded_days,train_average_positions,train_max_positions_used,train_blown_up,train_worst_day,validation_final_equity,validation_total_return,validation_cagr,validation_sharpe,validation_max_drawdown,validation_trades,validation_traded_days,validation_average_positions,validation_max_positions_used,validation_blown_up,validation_worst_day,oos_final_equity,oos_total_return,oos_cagr,oos_sharpe,oos_max_drawdown,oos_trades,oos_traded_days,oos_average_positions,oos_max_positions_used,oos_blown_up,oos_worst_day,holdout_final_equity,holdout_total_return,holdout_cagr,holdout_sharpe,holdout_max_drawdown,holdout_trades,holdout_traded_days,holdout_average_positions,holdout_max_positions_used,holdout_blown_up,holdout_worst_day,policy_sharpe_stability,policy_selection_score
1,5f7e41cf3ad0,relative_weakness_reversal,"{""family"": ""relative_weakness_reversal"", ""gap_max"": -0.03, ""min_adv20"": 20000000.0, ""mom3_max"": -0.05, ""prev_return_percentile_max"": 0.2}",0.02,,1.5,5,58446.30884365003,4.844630884365003,0.10327125518711688,0.766879885379077,-0.3267681556429022,1392,695,0.3074884029158383,5,False,-0.032999999999999995,15266.65829036017,0.5266658290360171,0.1512432216649653,0.888666003090534,-0.10650453451553132,254,105,0.33553500660501984,5,False,-0.032999999999999995,10601.141174253191,0.060114117425319025,0.019702041475784915,0.19700966401215234,-0.16854399960960198,216,122,0.2864721485411141,5,False,-0.032999999999999995,11172.61721245997,0.11726172124599699,0.11825322392252335,0.7327052933298398,-0.10617929491707634,84,44,0.336,5,False,-0.032999999999999995,-0.12178611771145698,0.8964945652173912
5,aeb583bdb7a4,gap_down_reversal,"{""family"": ""gap_down_reversal"", ""gap_max"": -0.03, ""min_adv20"": 20000000.0, ""prev_return_max"": 0.0}",,0.08,1.0,10,62015.92258704765,5.201592258704765,0.10691809443982603,0.7423802793227325,-0.27502510017806636,6477,2421,1.4307488402915838,10,False,-0.12580672402477608,14370.268297342545,0.43702682973425455,0.1282853650635447,0.8854664424536391,-0.10638637922076932,1195,395,1.5785997357992074,10,False,-0.058217640260405455,5887.3653614283785,-0.41126346385716217,-0.16227096808341057,-1.1823284342916622,-0.4633760074569967,1436,438,1.9045092838196287,10,False,-0.05596621165495238,10065.47400880247,0.0065474008802470784,0.0065999525599163,0.1249359198028769,-0.13690132498370478,531,146,2.124,10,False,-0.04909325137930075,-0.1430861631309066,0.88125
53,59b1c0c0d28c,strength_pullback,"{""family"": ""strength_pullback"", ""gap_max"": -0.05, ""min_adv20"": 20000000.0, ""mom3_min"": null, ""prev_return_min"": 0.03}",0.02,0.08,4.0,20,24591.18137814086,1.459118137814086,0.0513640607382877,0.5045299575467331,-0.15212954047185745,930,405,0.20543406229290923,20,False,-0.06926035411855273,15009.209981860959,0.5009209981860958,0.14474376836159153,0.7099618527865028,-0.08736322824520681,250,67,0.33025099075297226,20,False,-0.037582934872119354,9882.687239913934,-0.011731276008606573,-0.003936209995527351,-0.07276009945497515,-0.05198123925813136,106,69,0.14058355437665782,10,False,-0.0132,8164.997684755025,-0.18350023152449746,-0.1848233814400344,-1.7160731593797838,-0.19916159748872897,66,23,0.264,20,False,-0.0836,-0.20543189523976968,0.8097554347826088
353,7757967a78ef,volatility_reversal,"{""family"": ""volatility_reversal"", ""gap_max"": -0.02, ""min_adv20"": 20000000.0, ""prev_intraday_max"": -0.02, ""prev_range_min"": 0.03}",,0.08,1.0,5,13125.718290625287,0.3125718290625288,0.015255707800105434,0.18117812543343728,-0.6186489104427079,3881,1594,0.8573006406008394,5,False,-0.20131859916315822,12061.659910031725,0.20616599100317257,0.06438769853376458,0.40319247747378606,-0.2828824509180038,702,285,0.9273447820343461,5,False,-0.10863333460044837,9318.337446228192,-0.0681662553771808,-0.02331983541068705,-0.05150646300948379,-0.4091108111333074,706,277,0.9363395225464191,5,False,-0.08340046456611432,9548.20231082265,-0.04517976891773501,-0.04553285110662386,-0.16673855875834503,-0.17227784922226486,241,104,0.964,5,False,-0.0589000987710532,-0.22201435204034878,0.5886956521739131
364,994a822c44eb,oversold_3d_reversal,"{""family"": ""oversold_3d_reversal"", ""max_abs_gap"": 0.05, ""min_adv20"": 50000000.0, ""momentum_column"": ""mom3"", ""momentum_max"": -0.12}",,,1.0,20,6089.250104946978,-0.3910749895053022,-0.027235913900107822,-0.11902089636361228,-0.5463919519709525,6734,2081,1.4875193284736028,20,False,-0.16883104826883788,11533.663925481063,0.15336639254810636,0.04864496953835773,0.3822141722484059,-0.14337216262535835,1148,342,1.5165125495376486,20,False,-0.06321170708899695,8844.476669219257,-0.11555233307807433,-0.040208508063190984,-0.6394839017300021,-0.14325746265049777,1417,439,1.8793103448275863,20,False,-0.0405872105094409,10260.548843243309,0.026054884324330896,0.026266037269753184,0.22525841377713787,-0.07962304705167023,586,173,2.344,20,False,-0.07643813953186626,-0.5012350686120182,0.5691847826086956
403,8486bd00cb94,prior_day_crash_rebound,"{""family"": ""prior_day_crash_rebound"", ""max_abs_gap"": 0.05, ""min_adv20"": 20000000.0, ""prev_return_max"": -0.1}",,,1.0,20,7824.577159686229,-0.2175422840313771,-0.013562911282838708,-0.08321047605152565,-0.48006439328806183,3021,1289,0.6673293571901922,20,False,-0.1052885556585061,9826.964955504123,-0.017303504449587725,-0.0057937848149233195,-0.03696371279706915,-0.08916759130818719,439,187,0.5799207397622193,20,False,-0.04933902574240111,10280.878121244623,0.02808781212446232,0.009301008055972337,0.3412481688533603,-0.03906123188829136,464,260,0.6153846153846154,17,False,-0.01083587087852555,10044.771586659934,0.004477158665993297,0.004513056637172941,0.10778591254310849,-0.03524388323304761,250,105,1.0,20,False,-0.022865714112411617,-0.0462467632544565,0.52875
447,e01ec9ad1e07,oversold_5d_reversal,"{""family"": ""oversold_5d_reversal"", ""max_abs_gap"": 0.05, ""min_adv20"": 50000000.0, ""momentum_column"": ""mom5"", ""momentum_max"": -0.2}",,,1.0,20,7748.6279765697855,-0.22513720234302148,-0.014098362713807933,-0.08231372969044119,-0.4354227860502512,2756,1169,0.6087916942787718,20,False,-0.1803911135653249,9606.03928227637,-0.03939607177236304,-0.013290887391980588,-0.07406188516194798,-0.1335544680173958,493,162,0.6512549537648613,20,False,-0.06724353147886412,10283.842562916945,0.0283842562916945,0.00939826506707897,0.23033579981406158,-0.06362237025189454,523,245,0.6936339522546419,19,False,-0.021010092704339574,11227.663637087277,0.12276636370872773,0.12380693691529854,0.7146871769752535,-0.06330911192121125,245,106,0.98,20,False,-0.06330911192121132,-0.008251844528493216,0.49114130434782616
531,0c910a5068ad,gap_up_continuation,"{""family"": ""gap_up_continuation"", ""gap_min"": 0.08, ""min_adv20"": 50000000.0, ""mom3_min"": 0.0, ""prev_return_min"": 0.05}",,0.02,1.0,3,7406.37210997512,-0.259362789002488,-0.01657451008290234,-0.3879938928349008,-0.30350084915690756,126,95,0.027833001988071572,3,False,-0.06673941439154796,9854.850816586279,-0.014514918341372085,-0.004855498955081861,-0.07175203237908565,-0.11090000812031675,40,21,0.052840158520475564,3,False,-0.06437633664845077,10069.646232028595,0.00696462320285951,0.0023223230931463945,0.1159070208231499,-0.026885460976143305,11,10,0.014588859416445624,2,False,-0.026885460976143343,9888.759929541844,-0.01112400704581562,-0.011212498322775266,-0.31840643998225265,-0.03885987185700923,9,9,0.036,1,False,-0.025849815794145543,-0.31624186045581515,0.4189130434782608
