policy_rank,variant_id,family,base_config_json,stop_loss,take_profit,leverage,max_positions,train_final_equity,train_total_return,train_cagr,train_sharpe,train_max_drawdown,train_trades,train_traded_days,train_average_positions,train_max_positions_used,train_blown_up,train_worst_day,validation_final_equity,validation_total_return,validation_cagr,validation_sharpe,validation_max_drawdown,validation_trades,validation_traded_days,validation_average_positions,validation_max_positions_used,validation_blown_up,validation_worst_day,oos_final_equity,oos_total_return,oos_cagr,oos_sharpe,oos_max_drawdown,oos_trades,oos_traded_days,oos_average_positions,oos_max_positions_used,oos_blown_up,oos_worst_day,holdout_final_equity,holdout_total_return,holdout_cagr,holdout_sharpe,holdout_max_drawdown,holdout_trades,holdout_traded_days,holdout_average_positions,holdout_max_positions_used,holdout_blown_up,holdout_worst_day,policy_sharpe_stability,policy_selection_score
507,bdd1d95c3f2c,prior_day_crash_rebound,"{""family"": ""prior_day_crash_rebound"", ""max_abs_gap"": 0.05, ""min_adv20"": 50000000.0, ""prev_return_max"": -0.1}",,,3.0,20,2694.242114522479,-0.7305757885477522,-0.07040306601727175,-0.11889918457292606,-0.8690202949710074,2541,1116,0.56129887342611,20,False,-0.2815168735395809,9072.721063819828,-0.09272789361801714,-0.03187568178824063,-0.03301059057734432,-0.253711264715772,424,185,0.560105680317041,20,False,-0.1480170772272033,10873.883060801141,0.08738830608011416,0.028396026024258836,0.3727964634120449,-0.10759899837363629,460,258,0.610079575596817,17,False,-0.03250761263557665,10044.111814371781,0.004411181437178113,0.004446549231246211,0.10778591254310844,-0.10393858443232695,250,105,1.0,20,False,-0.06859714233723485,-0.08588859399558174,0.4357880434782609
508,e21ba93123fd,oversold_5d_reversal,"{""family"": ""oversold_5d_reversal"", ""max_abs_gap"": 0.05, ""min_adv20"": 20000000.0, ""momentum_column"": ""mom5"", ""momentum_max"": -0.2}",,,1.0,10,3551.9810056135093,-0.6448018994386491,-0.05599021364257639,-0.28012031199176385,-0.7147264006062033,2913,1296,0.6434724983432737,10,False,-0.21956412878973702,9838.122459472117,-0.016187754052788272,-0.005418151263585913,0.0448758707429235,-0.21166066139197692,378,162,0.49933949801849403,10,False,-0.08557886617223887,10289.061769339063,0.02890617693390629,0.009569450752011432,0.15404519902848704,-0.1256206664234526,509,245,0.6750663129973474,10,False,-0.04202018540867915,11096.701949151842,0.10967019491518415,0.11059438309612868,0.6186735125741295,-0.07483743360862949,222,106,0.888,10,False,-0.07483743360862943,-0.32499618273468733,0.43576086956521737
509,e21ba93123fd,oversold_5d_reversal,"{""family"": ""oversold_5d_reversal"", ""max_abs_gap"": 0.05, ""min_adv20"": 20000000.0, ""momentum_column"": ""mom5"", ""momentum_max"": -0.2}",,,1.5,20,4661.518635970812,-0.5338481364029188,-0.04159681941348237,-0.15910409153871408,-0.6849673302527612,3265,1296,0.721228186436934,20,False,-0.2805378755548419,9223.093834226875,-0.07769061657731258,-0.02656339119729978,-0.09047890511429788,-0.2001811568557491,497,162,0.6565389696169088,20,False,-0.10086529721829618,10385.81887096856,0.03858188709685595,0.012732586791616596,0.2208476810816311,-0.0942488868075737,527,245,0.6989389920424404,19,False,-0.03151513905650936,11772.273656079817,0.1772273656079817,0.1787649989385376,0.7146871769752543,-0.09496366788181698,245,106,0.98,20,False,-0.09496366788181697,-0.0686251864244162,0.4340489130434783
510,7757967a78ef,volatility_reversal,"{""family"": ""volatility_reversal"", ""gap_max"": -0.02, ""min_adv20"": 20000000.0, ""prev_intraday_max"": -0.02, ""prev_range_min"": 0.03}",,0.08,4.0,10,1536.036891998588,-0.8463963108001412,-0.09903020641997662,0.20934180860738827,-0.9926124357075491,5129,1594,1.132979898387453,10,False,-0.6379380408819406,7794.619778487,-0.22053802215130003,-0.0795943170893918,0.294529760052236,-0.8463724314855172,994,285,1.3130779392338177,10,False,-0.5602727986267199,7609.879748076738,-0.23901202519232623,-0.08724466069503634,0.05843050475173208,-0.7808665711370749,919,277,1.2188328912466844,10,False,-0.22415933456029996,11130.675698854975,0.11306756988549749,0.11402183113506625,0.46516354203649346,-0.32590203512257565,318,104,1.272,10,False,-0.20282061604387036,-0.08518795144484775,0.4339673913043478
511,a42b45d26d32,volatility_reversal,"{""family"": ""volatility_reversal"", ""gap_max"": -0.02, ""min_adv20"": 50000000.0, ""prev_intraday_max"": -0.02, ""prev_range_min"": 0.03}",,0.08,4.0,5,97.56738909494989,-0.990243261090505,-0.22719018971075733,0.17914340570593162,-0.9992574409059647,3424,1427,0.7563507841837862,5,False,-0.8052743966526329,8704.185486401395,-0.12958145135986054,-0.045148314864568384,0.39148869762043026,-0.8398383717313519,694,284,0.916776750330251,5,False,-0.4345333384017935,3902.3160376708065,-0.6097683962329193,-0.26984879804030726,-0.10256192803319801,-0.9158005884450137,705,277,0.9350132625994695,5,False,-0.33360185826445726,6877.378675670578,-0.3122621324329422,-0.31431867517078715,-0.16673855875834503,-0.5472089904305004,241,104,0.964,5,False,-0.2356003950842128,-0.21234529191449864,0.43358695652173906
512,7bbe6d4eb49d,relative_weakness_reversal,"{""family"": ""relative_weakness_reversal"", ""gap_max"": -0.03, ""min_adv20"": 20000000.0, ""mom3_max"": -0.05, ""prev_return_percentile_max"": 0.2}",0.02,0.08,3.0,20,30000.117465861626,2.0000117465861624,0.06306428647641216,0.6166148346382858,-0.25286922147177804,1958,695,0.4325160150209852,20,False,-0.06599999999999999,9453.11096998061,-0.05468890300193907,-0.018548128911262007,-0.06464495965975174,-0.32507285039123424,481,105,0.6354029062087186,20,False,-0.06599999999999999,9297.691524225871,-0.07023084757741294,-0.02404360112558268,-0.10531379024269254,-0.22183597206148742,330,122,0.4376657824933687,20,False,-0.06178348796490705,10407.913836160807,0.0407913836160807,0.04112433498023993,0.4209175400640642,-0.09120376589227253,130,44,0.52,20,False,-0.036,-0.6812597942980375,0.43355978260869565
513,12257827a207,strength_pullback,"{""family"": ""strength_pullback"", ""gap_max"": -0.02, ""min_adv20"": 20000000.0, ""mom3_min"": null, ""prev_return_min"": 0.05}",0.06,0.08,2.0,3,16366.287241221864,0.6366287241221864,0.027802692281157615,0.24393048778921855,-0.6646540148660793,1325,785,0.2926883145571018,3,False,-0.124,9296.474906030176,-0.07035250939698234,-0.023991984521717247,0.08484769909797528,-0.49122077423730925,219,117,0.2892998678996037,3,False,-0.124,13402.63914527694,0.340263914527694,0.10283168005643084,0.5506311050627821,-0.2752735881576266,216,118,0.2864721485411141,3,False,-0.124,7229.748539233143,-0.2770251460766857,-0.2788988673376208,-1.22024827606272,-0.39623367447084756,73,47,0.292,3,False,-0.124,-0.15908278869124326,0.43163043478260865
514,e01ec9ad1e07,oversold_5d_reversal,"{""family"": ""oversold_5d_reversal"", ""max_abs_gap"": 0.05, ""min_adv20"": 50000000.0, ""momentum_column"": ""mom5"", ""momentum_max"": -0.2}",,,2.0,20,4867.557072828215,-0.5132442927171785,-0.03928658334393531,-0.08231372969044119,-0.7293884577650875,2756,1169,0.6087916942787718,20,False,-0.3607822271306498,8931.612996087224,-0.10683870039127763,-0.03691436253820091,-0.07406188516194798,-0.25636432024781375,493,162,0.6512549537648613,20,False,-0.13448706295772825,10513.369985198047,0.051336998519804666,0.01687258709095163,0.23033579981406158,-0.12410416096319676,523,245,0.6936339522546419,19,False,-0.04202018540867915,12267.493021801884,0.2267493021801883,0.22875660736221826,0.7146871769752535,-0.1266182238424225,245,106,0.98,20,False,-0.12661822384242263,-0.008251844528493216,0.4298913043478261
515,a68266614904,volatility_reversal,"{""family"": ""volatility_reversal"", ""gap_max"": -0.02, ""min_adv20"": 20000000.0, ""prev_intraday_max"": -0.02, ""prev_range_min"": 0.05}",,0.08,3.0,10,11956.729552111023,0.19567295521110228,0.009997671423906285,0.27428038151996026,-0.9134369366342201,3647,1124,0.8056107797658494,10,False,-0.4784535306614554,8593.889588114671,-0.14061104118853296,-0.049193296275729215,0.1774494866348141,-0.7303596277874461,687,190,0.9075297225891678,10,False,-0.4202045989700399,8912.52441764925,-0.10874755823507498,-0.03774678776601659,0.03988695788379023,-0.6125862561607105,552,184,0.7320954907161804,10,False,-0.16811950092022496,12526.458241573799,0.2526458241573799,0.2549052070025879,0.7714666797270361,-0.2191011271849157,189,72,0.756,10,False,-0.12119025057058556,-0.09683089488514615,0.4281521739130435
516,96ecb9436c7e,oversold_3d_reversal,"{""family"": ""oversold_3d_reversal"", ""max_abs_gap"": 0.03, ""min_adv20"": 50000000.0, ""momentum_column"": ""mom3"", ""momentum_max"": -0.2}",,,1.0,20,6384.519774083767,-0.36154802259162333,-0.024668462031293803,-0.42299359810687354,-0.42605435967287153,1037,637,0.22907002429865253,19,False,-0.13181862539377007,9822.519659050628,-0.017748034094937193,-0.005943521425055165,-0.017324913375627114,-0.09356680042330501,184,88,0.2430647291941876,20,False,-0.0748164172867211,9648.494814538,-0.035150518546199994,-0.01188813212221218,-0.5805149358098595,-0.04926825520384648,219,142,0.29045092838196285,8,False,-0.014279560940051995,10107.447725714508,0.0107447725714509,0.010831194601895744,0.3145903367499704,-0.020746501252107308,115,72,0.46,8,False,-0.020746501252107207,-0.4056686847312464,0.42809782608695657
