policy_rank,variant_id,family,base_config_json,stop_loss,take_profit,leverage,max_positions,is_frozen_policy,train_final_equity,train_total_return,train_cagr,train_sharpe,train_max_drawdown,train_trades,train_traded_days,train_average_positions,train_max_positions_used,train_blown_up,train_worst_day,validation_final_equity,validation_total_return,validation_cagr,validation_sharpe,validation_max_drawdown,validation_trades,validation_traded_days,validation_average_positions,validation_max_positions_used,validation_blown_up,validation_worst_day,diagnostic_2025_final_equity,diagnostic_2025_total_return,diagnostic_2025_cagr,diagnostic_2025_sharpe,diagnostic_2025_max_drawdown,diagnostic_2025_trades,diagnostic_2025_traded_days,diagnostic_2025_average_positions,diagnostic_2025_max_positions_used,diagnostic_2025_blown_up,diagnostic_2025_worst_day,y2021_return,y2021_sharpe,y2021_max_drawdown,y2021_trades,y2022_return,y2022_sharpe,y2022_max_drawdown,y2022_trades,y2023_return,y2023_sharpe,y2023_max_drawdown,y2023_trades,y2024_return,y2024_sharpe,y2024_max_drawdown,y2024_trades,y2025_return,y2025_sharpe,y2025_max_drawdown,y2025_trades,all_2021_2025_final_equity,all_2021_2025_total_return,all_2021_2025_cagr,all_2021_2025_sharpe,all_2021_2025_max_drawdown,all_2021_2025_trades,all_2021_2025_traded_days,all_2021_2025_average_positions,all_2021_2025_max_positions_used,all_2021_2025_blown_up,all_2021_2025_worst_day,policy_sharpe_stability,policy_positive_year_share_2021_2024,policy_worst_year_return_2021_2024,policy_selection_score
2,f8bee66f0432,relative_weakness_reversal,"{""family"": ""relative_weakness_reversal"", ""gap_max"": -0.04, ""market_prev_return_max"": 0.0, ""min_adv20"": 50000000.0, ""mom3_max"": -0.06, ""prev_return_percentile_max"": 0.125}",,0.1,3.0,5,False,24619.643747498765,1.4619643747498765,0.35190721319768037,1.1350076643812,-0.19243456045620344,74,35,0.09827357237715803,5,False,-0.12178819840126705,12665.104959344568,0.26651049593445686,0.26532831004180313,1.328749642175269,-0.054354161436575676,16,12,0.06324110671936758,5,False,-0.05361391026002334,18670.10857459437,0.8670108574594371,0.8763593613091434,2.0279083085643776,-0.04361689733652707,29,13,0.116,5,False,-0.04361689733652705,0.30540614821822976,1.6304874170525379,-0.012575588919632064,17,0.5132192475895936,1.1603647585132821,-0.19243456045620344,37,0.24633345766170778,1.0154477530752817,-0.16721201570378763,20,0.26651049593445686,1.328749642175269,-0.054354161436575676,16,0.8670108574594371,2.0279083085643776,-0.04361689733652707,29,58215.33502234957,4.821533502234957,0.4239500828313836,1.3489013816507347,-0.19243456045620344,119,60,0.09474522292993631,5,False,-0.12178819840126705,-0.193741977794069,1.0,0.24633345766170778,0.737013888888889
3,3ab676842d5e,gap_down_reversal,"{""family"": ""gap_down_reversal"", ""gap_max"": -0.04, ""market_prev_return_max"": null, ""min_adv20"": 50000000.0, ""mom3_max"": -0.06, ""prev_return_max"": -0.015}",,0.08,2.75,5,False,22652.46274876278,1.265246274876278,0.3147506952023522,1.1110110924848435,-0.2255077439472838,103,53,0.13678618857901725,5,False,-0.16412364393977832,12839.07985811802,0.2839079858118021,0.28264039231910987,1.4334240879131623,-0.0877969860012856,29,21,0.11462450592885376,5,False,-0.04914608440502139,16904.009646155406,0.6904009646155407,0.6975151138873725,1.8372521955699133,-0.0584105206763571,37,17,0.148,5,False,-0.03998215589181646,0.31462426720450987,1.7365276213992296,-0.03182571208826701,27,0.2646827267729652,0.7790818977171566,-0.22550774394728368,50,0.36248645383636435,1.514391348661738,-0.1463885600569833,26,0.2839079858118021,1.4334240879131623,-0.0877969860012856,29,0.6904009646155407,1.8372521955699133,-0.0584105206763571,37,49163.07704393131,3.916307704393131,0.3764750564614978,1.3084448314845998,-0.2255077439472838,169,91,0.13455414012738853,5,False,-0.16412364393977832,-0.3224129954283188,1.0,0.2646827267729652,0.7341442652329748
4,3ab676842d5e,gap_down_reversal,"{""family"": ""gap_down_reversal"", ""gap_max"": -0.04, ""market_prev_return_max"": null, ""min_adv20"": 50000000.0, ""mom3_max"": -0.06, ""prev_return_max"": -0.015}",,0.08,3.0,5,False,24141.11078382911,1.414111078382911,0.34305580847801154,1.1110110924848435,-0.24471265077804882,103,53,0.13678618857901725,5,False,-0.1790439752070309,13113.299450819814,0.3113299450819813,0.309925854278406,1.4334240879131617,-0.09558040913016541,29,21,0.11462450592885376,5,False,-0.05361391026002334,17660.741619006607,0.7660741619006608,0.7741282372641578,1.837252195569914,-0.06363339303948079,37,17,0.148,5,False,-0.04361689733652705,0.34610772656528455,1.7365276213992298,-0.03471895864174579,27,0.28279020561802093,0.7790818977171571,-0.2447126507780486,50,0.398047079539134,1.514391348661738,-0.1592629167612417,26,0.3113299450819813,1.4334240879131617,-0.09558040913016541,29,0.7660741619006608,1.837252195569914,-0.06363339303948079,37,55908.541711245554,4.590854171124556,0.4124456116260822,1.3084448314845998,-0.24471265077804882,169,91,0.13455414012738853,5,False,-0.1790439752070309,-0.32241299542831814,1.0,0.28279020561802093,0.7335035842293908
5,eca474687407,relative_weakness_reversal,"{""family"": ""relative_weakness_reversal"", ""gap_max"": -0.04, ""market_prev_return_max"": 0.0, ""min_adv20"": 100000000.0, ""mom3_max"": -0.06, ""prev_return_percentile_max"": 0.1}",,0.1,3.0,5,False,22874.082383196623,1.2874082383196623,0.31904144952583446,1.1263888588735995,-0.16721201570378763,65,32,0.08632138114209828,5,False,-0.12178819840126705,12665.104959344568,0.26651049593445686,0.26532831004180313,1.328749642175269,-0.054354161436575676,16,12,0.06324110671936758,5,False,-0.05361391026002334,17721.716614103887,0.7721716614103886,0.7803026316810915,1.987906230901425,-0.04361689733652707,28,13,0.112,5,False,-0.04361689733652705,0.29330447269309645,1.5778599420441608,-0.012575588919632064,16,0.44204768501764624,1.1058223576070987,-0.1521632744786774,31,0.2264879331118761,1.0763108622146895,-0.16721201570378774,18,0.26651049593445686,1.328749642175269,-0.054354161436575676,16,0.7721716614103886,1.987906230901425,-0.04361689733652707,28,51340.28340651103,4.134028340651103,0.38849453112104104,1.340968186485431,-0.16721201570378763,109,57,0.08678343949044585,5,False,-0.12178819840126705,-0.2023607833016694,1.0,0.2264879331118761,0.7330846774193548
6,3ab676842d5e,gap_down_reversal,"{""family"": ""gap_down_reversal"", ""gap_max"": -0.04, ""market_prev_return_max"": null, ""min_adv20"": 50000000.0, ""mom3_max"": -0.06, ""prev_return_max"": -0.015}",,0.08,2.5,5,False,21218.764745883956,1.1218764745883956,0.2862950266816162,1.1110110924848435,-0.20611715855589274,103,53,0.13678618857901725,5,False,-0.14920331267252573,12567.374972976975,0.25673749729769746,0.25560287741679644,1.433424087913162,-0.07998054269689625,29,21,0.11462450592885376,5,False,-0.044678258550019445,16169.989215531128,0.6169989215531129,0.6232275612471299,1.8372521955699135,-0.05317312431973131,37,17,0.148,5,False,-0.036347414447105875,0.2836331667088354,1.7365276213992293,-0.02893246553478812,27,0.24539045185128305,0.7790818977171573,-0.20611715855589263,50,0.3273138804808575,1.5143913486617382,-0.13344192098438945,26,0.25673749729769746,1.433424087913162,-0.07998054269689625,29,0.6169989215531129,1.8372521955699135,-0.05317312431973131,37,43119.56801981291,3.3119568019812915,0.340723221500018,1.3084448314845998,-0.20611715855589274,169,91,0.13455414012738853,5,False,-0.14920331267252573,-0.32241299542831836,1.0,0.24539045185128305,0.7303270609318996
7,be957829cf82,relative_weakness_reversal,"{""family"": ""relative_weakness_reversal"", ""gap_max"": -0.04, ""market_prev_return_max"": 0.0, ""min_adv20"": 50000000.0, ""mom3_max"": -0.06, ""prev_return_percentile_max"": 0.1}",,0.1,2.75,5,False,22164.93968299512,1.216493968299512,0.3052125383514688,1.1376902166836007,-0.1550186619688213,70,34,0.09296148738379814,5,False,-0.11163918186782813,12434.121713964303,0.24341217139643034,0.24234192487033424,1.3287496421752685,-0.04987839279894757,16,12,0.06324110671936758,5,False,-0.04914608440502139,16948.061473328074,0.6948061473328075,0.7019742722876035,1.987906230901425,-0.03998215589181642,28,13,0.112,5,False,-0.03998215589181646,0.27799203981897724,1.6304874170525383,-0.011527623176329382,17,0.41424350931574283,1.1275450752808325,-0.1550186619688213,33,0.22634936580635157,1.0154477530752817,-0.1537593772086866,20,0.24341217139643034,1.3287496421752685,-0.04987839279894757,16,0.6948061473328075,1.987906230901425,-0.03998215589181642,28,46709.12143756981,3.670912143756981,0.3624065102509888,1.3432553319513216,-0.1550186619688213,114,59,0.09076433121019108,5,False,-0.11163918186782813,-0.19105942549166777,1.0,0.22634936580635157,0.7282616487455198
8,6335ea5e30c2,gap_down_reversal,"{""family"": ""gap_down_reversal"", ""gap_max"": -0.04, ""market_prev_return_max"": null, ""min_adv20"": 50000000.0, ""mom3_max"": -0.06, ""prev_return_max"": -0.015}",,0.06,3.0,7,False,19071.717627158214,0.9071717627158213,0.24118246948182986,1.08000334201651,-0.192986687214028,114,53,0.15139442231075698,7,False,-0.14375014778418485,12504.782371720423,0.2504782371720422,0.24937392474576803,1.4855995424769548,-0.06747779564146217,31,21,0.1225296442687747,7,False,-0.03829565018573095,15878.602161526902,0.5878602161526902,0.5937447447837996,2.029339036391861,-0.04566593176806044,42,17,0.168,7,False,-0.031154926668947893,0.25510117209033667,1.9157708892619458,-0.02479925617267542,29,0.2312436692357971,0.8027283467197203,-0.19298668721402779,57,0.2341474846138647,1.3166273838593399,-0.1148213345274488,28,0.2504782371720422,1.4855995424769548,-0.06747779564146217,31,0.5878602161526902,2.029339036391861,-0.04566593176806044,42,37868.50965462179,2.786850965462179,0.3062429898742125,1.3438154613104758,-0.192986687214028,187,91,0.14888535031847133,7,False,-0.14375014778418485,-0.40559620046044476,1.0,0.2312436692357971,0.7275313620071684
9,f8bee66f0432,relative_weakness_reversal,"{""family"": ""relative_weakness_reversal"", ""gap_max"": -0.04, ""market_prev_return_max"": 0.0, ""min_adv20"": 50000000.0, ""mom3_max"": -0.06, ""prev_return_percentile_max"": 0.125}",,0.1,2.75,5,False,23042.60421566626,1.3042604215666258,0.32228570558240643,1.1350076643811997,-0.17720248606916011,74,35,0.09827357237715803,5,False,-0.11163918186782813,12434.121713964303,0.24341217139643034,0.24234192487033424,1.3287496421752685,-0.04987839279894757,16,12,0.06324110671936758,5,False,-0.04914608440502139,17785.741555676923,0.7785741555676924,0.7867860499103403,2.027908308564378,-0.03998215589181642,29,13,0.116,5,False,-0.03998215589181646,0.27799203981897724,1.6304874170525383,-0.011527623176329382,17,0.470243272294528,1.160364758513282,-0.17720248606916011,37,0.22634936580635157,1.0154477530752817,-0.1537593772086866,20,0.24341217139643034,1.3287496421752685,-0.04987839279894757,16,0.7785741555676924,2.027908308564378,-0.03998215589181642,29,50958.736568588734,4.095873656858873,0.38641799964893986,1.3489013816507347,-0.17720248606916011,119,60,0.09474522292993631,5,False,-0.11163918186782813,-0.19374197779406876,1.0,0.22634936580635157,0.7274014336917562
10,be957829cf82,relative_weakness_reversal,"{""family"": ""relative_weakness_reversal"", ""gap_max"": -0.04, ""market_prev_return_max"": 0.0, ""min_adv20"": 50000000.0, ""mom3_max"": -0.06, ""prev_return_percentile_max"": 0.1}",,0.1,2.5,5,False,20770.513885169035,1.0770513885169035,0.2771365201678999,1.1376902166836012,-0.14136644898089357,70,34,0.09296148738379814,5,False,-0.10149016533438919,12204.59674619442,0.22045967461944205,0.2194989888271046,1.3287496421752687,-0.04539285237669788,16,12,0.06324110671936758,5,False,-0.044678258550019445,16199.93606578652,0.619993606578652,0.6262578539233794,1.987906230901425,-0.036347414447105875,28,13,0.112,5,False,-0.036347414447105875,0.2509427859878639,1.6304874170525379,-0.010479657433026812,17,0.3765281225190782,1.1275450752808325,-0.14136644898089334,33,0.20621494803942841,1.0154477530752817,-0.1402191575959708,20,0.22045967461944205,1.3287496421752687,-0.04539285237669788,16,0.619993606578652,1.987906230901425,-0.036347414447105875,28,41066.14881060313,3.106614881060313,0.3276620741927383,1.3432553319513216,-0.14136644898089357,114,59,0.09076433121019108,5,False,-0.10149016533438919,-0.19105942549166754,1.0,0.20621494803942841,0.7266957885304659
11,3ab676842d5e,gap_down_reversal,"{""family"": ""gap_down_reversal"", ""gap_max"": -0.04, ""market_prev_return_max"": null, ""min_adv20"": 50000000.0, ""mom3_max"": -0.06, ""prev_return_max"": -0.015}",,0.08,2.25,5,False,19841.156917861994,0.9841156917861993,0.25772059522554813,1.1110110924848438,-0.18650817866849434,103,53,0.13678618857901725,5,False,-0.13428298140527314,12298.241738670384,0.22982417386703835,0.22881899113809334,1.433424087913162,-0.07213107921699802,29,21,0.11462450592885376,5,False,-0.0402104326950175,15458.328290578625,0.5458328290578625,0.5512286828956023,1.8372521955699141,-0.04792120241909947,37,17,0.148,5,False,-0.03271267300239529,0.2531308414936022,1.7365276213992296,-0.02603921898130923,27,0.2249678630645433,0.7790818977171571,-0.18650817866849434,50,0.29254561273156376,1.5143913486617382,-0.12042299954345992,26,0.22982417386703835,1.433424087913162,-0.07213107921699802,29,0.5458328290578625,1.8372521955699141,-0.04792120241909947,37,37720.07464507794,2.772007464507794,0.3052140868059725,1.3084448314845998,-0.18650817866849434,169,91,0.13455414012738853,5,False,-0.13428298140527314,-0.32241299542831814,1.0,0.2249678630645433,0.7260259856630825
