ticker,available_date,roe,roic,roa,operating_margin,fcf_margin,fcf_to_net_income,asset_turnover,debt_to_equity,net_debt_to_equity,current_ratio,market_cap,fundamental_source,source_fiscal_year,source_period_end,source_accession_year_max
AAPL,2018-12-31,0.3562366958026963,0.22938501018752236,,0.27835410106706115,0.24619850769109483,1.162037341037932,,,0.5188968335035751,,216903588788.48648,tenline_sec_annual_conservative,2016,2016-09-24,2018
AAPL,2019-12-31,0.4936358284202758,0.29580343415826266,,0.26694026619477024,0.24142397258984544,1.0771026859955317,,,0.8266213706403353,,367070494332.93915,tenline_sec_annual_conservative,2018,2018-09-29,2019
AAPL,2020-01-26,0.5591722113998027,0.35898688051420946,,0.24572017188496928,0.22637158209505945,1.065875199073404,,,0.6542635487578463,,369948871420.0287,tenline_sec_annual_conservative,2019,2019-09-28,2019
AAPL,2021-01-24,0.7368556155223421,0.40586909009647903,,0.24147314354406862,0.2672531555652697,1.2778909964989287,,,1.1389828433248137,,2437648849360.4736,tenline_sec_annual_conservative,2020,2020-09-26,2020
AAPL,2022-01-23,1.4744333444938449,0.6178906111309536,,0.29782377527561593,0.2540969938521173,0.981759611322349,,,1.4230305912188936,,2739031556551.1777,tenline_sec_annual_conservative,2021,2021-09-25,2021
AAPL,2023-01-22,1.7545929220653644,0.6803961868042695,,0.30288744395528594,0.2826149804223895,1.116629760628438,,,1.9028852226081465,,2250840585814.087,tenline_sec_annual_conservative,2022,2022-09-24,2022
AAPL,2024-01-28,1.7194951160275842,0.6803763316950044,,0.2982141226502472,0.25981710737440805,1.0266920975308005,,,1.305361567920703,,3042650264786.362,tenline_sec_annual_conservative,2023,2023-09-30,2023
AAPL,2025-01-26,1.5741250755692886,0.6998997671891681,,0.31510222870075566,0.27825386474356517,1.1607813433472731,,,1.3465496049165935,,3432615385291.29,tenline_sec_annual_conservative,2024,2024-09-28,2024
AAPL,2026-01-25,1.7142244974480232,0.8228358730470098,,0.31970799762591884,0.23732882225869315,0.8817694848674226,,,0.8506774442922437,,3721764943140.457,tenline_sec_annual_conservative,2025,2025-09-27,2025
AMZN,2019-12-31,0.28271913329029724,0.3027600317294496,,0.053334879147397665,0.0742677779352218,1.7170654224163606,,,-0.15807481228041975,,46195999145.50781,tenline_sec_annual_conservative,2018,2018-12-31,2019
AMZN,2020-12-31,0.21945099376000152,0.23813899699688376,,0.05183550666257905,0.07718824192041979,1.868570935450466,,,-0.18322591040928135,,82074634277.34375,tenline_sec_annual_conservative,2019,2019-12-31,2020
AMZN,2021-12-31,0.2744172284258735,0.23960512719668586,,0.05931399975133657,0.06714948816776493,1.2153204256715577,,,-0.097972249582459,,85025667572.02148,tenline_sec_annual_conservative,2020,2020-12-31,2021
AMZN,2022-12-31,0.2880564992726064,0.14287860805508712,,0.052954097509269465,-0.03134378551877094,-0.4413739359788994,,,0.10137798835400919,,43260000000.0,tenline_sec_annual_conservative,2021,2021-12-31,2022
AMZN,2023-12-31,-0.01914959477712742,0.03456617066001598,,0.023829581912242232,-0.032866845790619534,6.2060984570169,,,0.11134391925665729,,1548116684875.4883,tenline_sec_annual_conservative,2022,2022-12-31,2023
AMZN,2025-12-31,0.24289682173641217,0.22390515448515966,,0.1075194487420038,0.05153622724971354,0.5549216851201728,,,-0.07339231387907823,,2474621298522.949,tenline_sec_annual_conservative,2024,2024-12-31,2025
AMZN,2026-12-31,0.22285824958574535,0.16353949811283713,,0.11155296795755199,0.010733355278941701,0.09907300115874855,,,-0.04368895430163113,,2774527125732.422,tenline_sec_annual_conservative,2025,2025-12-31,2026
COST,2018-12-31,0.19455252918287938,0.17392658196259914,,0.030930179667955426,0.005416150742509624,0.27361702127659576,,,0.147528768937826,,89889688692.58118,tenline_sec_annual_conservative,2016,2016-08-28,2018
COST,2019-12-31,0.26096569431566935,0.26912985144658164,,0.031021001552032378,0.02199039966470862,0.9177370866356929,,,-0.10240766253362199,,130183934107.4524,tenline_sec_annual_conservative,2019,2019-09-01,2019
COST,2020-12-31,0.23873296149372147,0.30188216900644294,,0.03259155318089961,0.0362854624282656,1.5119940029985008,,,-0.2553051848610807,,167253018238.12866,tenline_sec_annual_conservative,2020,2020-08-30,2020
COST,2021-12-31,0.2793461280964071,0.3696665377659554,,0.034236891935343926,0.027407887551102697,1.072498502097064,,,-0.21447278524254157,,252255229624.1455,tenline_sec_annual_conservative,2021,2021-08-29,2021
COST,2022-12-31,0.30592053604145947,0.3459367014927882,,0.03433735470624003,0.0154260334693374,0.5990759753593429,,,-0.17663017149501017,,203031570500.0,tenline_sec_annual_conservative,2022,2022-08-28,2022
COST,2024-01-01,0.27536105032822755,0.33764421340353656,,0.033488794419910026,0.02783854059185274,1.0719961856325493,,,-0.28900949796472186,,293373883755.61523,tenline_sec_annual_conservative,2023,2023-09-03,2023
COST,2024-12-31,0.302670501232539,0.3580713657318392,,0.036490039417888566,0.026051962444930892,0.8998235373964979,,,-0.16971467276267885,,407519337616.6992,tenline_sec_annual_conservative,2024,2024-09-01,2024
COST,2025-12-31,0.3068616678664797,0.3738797102601004,,0.03772412665540356,0.028473849619416135,0.967650327200889,,,-0.28710053490604853,,383571430965.39307,tenline_sec_annual_conservative,2025,2025-08-31,2025
GOOGL,2019-12-31,0.140093213268506,0.14707819565646424,,0.26271712158808935,0.2860687699397377,1.3258034705821953,,,-0.06460916597140309,,,tenline_sec_annual_conservative,2016,2016-12-31,2019
