policy_rank,variant_id,family,base_config_json,stop_loss,take_profit,leverage,max_positions,train_final_equity,train_total_return,train_cagr,train_sharpe,train_max_drawdown,train_trades,train_traded_days,train_average_positions,train_max_positions_used,train_blown_up,train_worst_day,validation_final_equity,validation_total_return,validation_cagr,validation_sharpe,validation_max_drawdown,validation_trades,validation_traded_days,validation_average_positions,validation_max_positions_used,validation_blown_up,validation_worst_day,diagnostic_2025_final_equity,diagnostic_2025_total_return,diagnostic_2025_cagr,diagnostic_2025_sharpe,diagnostic_2025_max_drawdown,diagnostic_2025_trades,diagnostic_2025_traded_days,diagnostic_2025_average_positions,diagnostic_2025_max_positions_used,diagnostic_2025_blown_up,diagnostic_2025_worst_day,y2021_return,y2021_sharpe,y2021_max_drawdown,y2021_trades,y2022_return,y2022_sharpe,y2022_max_drawdown,y2022_trades,y2023_return,y2023_sharpe,y2023_max_drawdown,y2023_trades,y2024_return,y2024_sharpe,y2024_max_drawdown,y2024_trades,y2025_return,y2025_sharpe,y2025_max_drawdown,y2025_trades,policy_sharpe_stability,policy_positive_year_share_2021_2024,policy_worst_year_return_2021_2024,policy_selection_score
1,2dcede8980c5,gap_down_reversal,"{""family"": ""gap_down_reversal"", ""gap_max"": -0.04, ""market_prev_return_max"": null, ""min_adv20"": 50000000.0, ""mom3_max"": -0.05, ""prev_return_max"": -0.02}",,0.06,3.0,7,17039.74496803057,0.7039744968030568,0.19525825381260153,0.9177078561358599,-0.22017832994927622,131,65,0.17397078353253653,7,False,-0.14375014778418485,11678.300952065429,0.1678300952065428,0.16711416529138723,1.0293018186756007,-0.06951777957986582,36,23,0.1422924901185771,7,False,-0.03829565018573095,16448.030257114173,0.6448030257114172,0.6513639799312574,2.0090964539231337,-0.049825438197465544,49,21,0.196,7,False,-0.031154926668947893,0.13542570866232073,0.9565475131710166,-0.07347054840893719,30,0.20712232787424623,0.7549534841224014,-0.22017832994927622,67,0.24323458755137706,1.4126630045628399,-0.12072406029214688,34,0.1678300952065428,1.0293018186756007,-0.06951777957986582,36,0.6448030257114172,2.0090964539231337,-0.049825438197465544,49,-0.11159396253974074,1.0,0.13542570866232073,0.7676920995670995
2,6616ec9875f0,relative_weakness_reversal,"{""family"": ""relative_weakness_reversal"", ""gap_max"": -0.04, ""market_prev_return_max"": 0.0, ""min_adv20"": 50000000.0, ""mom3_max"": -0.05, ""prev_return_percentile_max"": 0.15}",,0.08,2.5,5,18642.25661877668,0.8642256618776678,0.23175799084341797,0.9702531378406443,-0.15060403878256878,96,48,0.12749003984063745,5,False,-0.10149016533438919,11436.725745705842,0.14367257457058424,0.14306589003120007,0.9813517194611564,-0.0691313010976744,21,14,0.08300395256916997,5,False,-0.044678258550019445,17604.884952955665,0.7604884952955664,0.7684722800732429,2.150918521300971,-0.04970814439910287,40,19,0.16,5,False,-0.036347414447105875,0.15732709267393008,0.9402086536469223,-0.08571563981042662,22,0.33210094583351646,1.005373274839434,-0.150604038782569,47,0.20921973189166154,1.1206881314981314,-0.14347167500482472,27,0.14367257457058424,0.9813517194611564,-0.0691313010976744,21,0.7604884952955664,2.150918521300971,-0.04970814439910287,40,-0.011098581620512138,1.0,0.14367257457058424,0.7663771645021645
3,2dcede8980c5,gap_down_reversal,"{""family"": ""gap_down_reversal"", ""gap_max"": -0.04, ""market_prev_return_max"": null, ""min_adv20"": 50000000.0, ""mom3_max"": -0.05, ""prev_return_max"": -0.02}",,0.06,2.5,7,15742.816484701825,0.5742816484701825,0.16400775557443503,0.9177078561358596,-0.18554724381860166,131,65,0.17397078353253653,7,False,-0.11979178982015405,11399.669564333299,0.1399669564333299,0.1393768529095687,1.0293018186756009,-0.058030534577583226,36,23,0.1422924901185771,7,False,-0.03191304182144246,15203.81119032864,0.520381119032864,0.5254855120557824,2.0090964539231333,-0.04162272079359075,49,21,0.196,7,False,-0.02596243889078991,0.11319125785897066,0.9565475131710167,-0.06122545700744764,30,0.17737418994902177,0.754953484122401,-0.18554724381860188,67,0.20115245897714407,1.41266300456284,-0.10105022601359914,34,0.1399669564333299,1.0293018186756009,-0.058030534577583226,36,0.520381119032864,2.0090964539231333,-0.04162272079359075,49,-0.1115939625397413,1.0,0.11319125785897066,0.7658143939393939
4,6616ec9875f0,relative_weakness_reversal,"{""family"": ""relative_weakness_reversal"", ""gap_max"": -0.04, ""market_prev_return_max"": 0.0, ""min_adv20"": 50000000.0, ""mom3_max"": -0.05, ""prev_return_percentile_max"": 0.15}",,0.08,3.0,5,20717.542709160673,1.0717542709160672,0.27604557207674474,0.9702531378406443,-0.17966187617024654,96,48,0.12749003984063745,5,False,-0.12178819840126705,11719.127556342886,0.17191275563428854,0.17117816772273553,0.9813517194611558,-0.08266245174949827,21,14,0.08300395256916997,5,False,-0.05361391026002334,19552.328788172814,0.9552328788172815,0.9657490731507434,2.1509185213009716,-0.05956286583835513,40,19,0.16,5,False,-0.04361689733652705,0.18774071307213047,0.9402086536469222,-0.10285876777251202,22,0.39436335223042507,1.0053732748394337,-0.17966187617024676,47,0.2509519823631743,1.1206881314981312,-0.17093999140162397,27,0.17191275563428854,0.9813517194611558,-0.08266245174949827,21,0.9552328788172815,2.1509185213009716,-0.05956286583835513,40,-0.011098581620511583,1.0,0.17191275563428854,0.7655925324675324
5,2dcede8980c5,gap_down_reversal,"{""family"": ""gap_down_reversal"", ""gap_max"": -0.04, ""market_prev_return_max"": null, ""min_adv20"": 50000000.0, ""mom3_max"": -0.05, ""prev_return_max"": -0.02}",,0.06,3.0,10,15112.302862703738,0.5112302862703739,0.14819337789252018,0.8453645378451883,-0.1757938519902329,146,65,0.19389110225763612,10,False,-0.1204072889115863,11524.141718927765,0.1524141718927765,0.15176818563409733,1.0702520861722309,-0.0488110587584889,39,23,0.1541501976284585,10,False,-0.02680695513001167,13851.255657147523,0.3851255657147523,0.3887403636326914,1.5241555109533265,-0.05952985830314084,55,21,0.22,10,False,-0.05952985830314084,0.10415332781390929,1.0285917142988072,-0.05142938388625595,33,0.223225385982315,0.8636601316350401,-0.1757938519902329,76,0.11890902633064782,1.0339779837870477,-0.08518246796895956,37,0.1524141718927765,1.0702520861722309,-0.0488110587584889,39,0.3851255657147523,1.5241555109533265,-0.05952985830314084,55,-0.2248875483270426,1.0,0.10415332781390929,0.7632196969696969
6,2dcede8980c5,gap_down_reversal,"{""family"": ""gap_down_reversal"", ""gap_max"": -0.04, ""market_prev_return_max"": null, ""min_adv20"": 50000000.0, ""mom3_max"": -0.05, ""prev_return_max"": -0.02}",,0.06,2.5,10,14199.146618775409,0.4199146618775409,0.12449178937208227,0.8453645378451884,-0.14769032514535352,146,65,0.19389110225763612,10,False,-0.10033940742632193,11269.027099071813,0.12690270990718133,0.1263706839931673,1.0702520861722309,-0.04072287076822512,39,23,0.1541501976284585,10,False,-0.022339129275009723,13162.133370612311,0.3162133370612312,0.31910964999153935,1.5241555109533262,-0.04960821525261738,55,21,0.22,10,False,-0.04960821525261737,0.08682927354740766,1.0285917142988068,-0.04285781990521331,33,0.18861252778310966,0.8636601316350401,-0.14769032514535374,76,0.0991592341305465,1.033977983787048,-0.07120434276817,37,0.12690270990718133,1.0702520861722309,-0.04072287076822512,39,0.3162133370612312,1.5241555109533262,-0.04960821525261738,55,-0.2248875483270425,1.0,0.08682927354740766,0.7589664502164502
7,740a4d43b9a7,gap_down_reversal,"{""family"": ""gap_down_reversal"", ""gap_max"": -0.04, ""market_prev_return_max"": null, ""min_adv20"": 50000000.0, ""mom3_max"": -0.05, ""prev_return_max"": -0.02}",,,3.0,7,22767.7519770178,1.27677519770178,0.31698626596793655,0.9360886805874167,-0.24291835550008045,131,65,0.17397078353253653,7,False,-0.14711380669087534,11708.887316939275,0.1708887316939276,0.17015882889696954,0.9442583578753947,-0.0790576466874171,36,23,0.1422924901185771,7,False,-0.03829565018573095,19544.463606305155,0.9544463606305156,0.9649519999812397,1.8710398213158044,-0.049825438197465655,49,21,0.196,7,False,-0.031154926668947893,0.15269366384284622,0.9610984859895736,-0.07347054840893696,30,0.4695324169149979,1.0506270235671733,-0.231105726775225,67,0.3440860542763795,0.953563913527888,-0.24291835550008056,34,0.1708887316939276,0.9442583578753947,-0.0790576466874171,36,0.9544463606305156,1.8710398213158044,-0.049825438197465655,49,-0.008169677287978017,1.0,0.15269366384284622,0.7588365800865801
8,6616ec9875f0,relative_weakness_reversal,"{""family"": ""relative_weakness_reversal"", ""gap_max"": -0.04, ""market_prev_return_max"": 0.0, ""min_adv20"": 50000000.0, ""mom3_max"": -0.05, ""prev_return_percentile_max"": 0.15}",,0.08,2.0,5,16672.631876940126,0.6672631876940125,0.18657778522026613,0.9702531378406439,-0.12117662269761076,96,48,0.12749003984063745,5,False,-0.08119213226751136,11152.16922339587,0.11521692233958691,0.11473634126227994,0.9813517194611563,-0.055501780589946925,21,14,0.08300395256916997,5,False,-0.03574260684001555,15810.549234132635,0.5810549234132636,0.5868597060775749,2.150918521300971,-0.0398241062567849,40,19,0.16,5,False,-0.0290779315576847,0.12648038760514924,0.940208653646922,-0.06857251184834101,22,0.2679391952754091,1.0053732748394335,-0.12117662269761098,47,0.16729896150730195,1.1206881314981312,-0.11559736290386058,27,0.11521692233958691,0.9813517194611563,-0.055501780589946925,21,0.5810549234132636,2.150918521300971,-0.0398241062567849,40,-0.01109858162051236,1.0,0.11521692233958691,0.7587743506493506
9,2dcede8980c5,gap_down_reversal,"{""family"": ""gap_down_reversal"", ""gap_max"": -0.04, ""market_prev_return_max"": null, ""min_adv20"": 50000000.0, ""mom3_max"": -0.05, ""prev_return_max"": -0.02}",,0.06,2.0,7,14489.080911304505,0.4489080911304506,0.13212438511235525,0.9177078561358595,-0.15010293864914948,131,65,0.17397078353253653,7,False,-0.09583343185612324,11120.267091476697,0.11202670914766966,0.11156008896151937,1.0293018186756007,-0.04650214289749843,36,23,0.1422924901185771,7,False,-0.02553043345715397,14030.886753045212,0.4030886753045211,0.40689536963727324,2.0090964539231337,-0.033379486661276325,49,21,0.196,7,False,-0.02076995111263193,0.09078964765235464,0.9565475131710169,-0.04898036560595809,30,0.14545234264143958,0.7549534841224012,-0.15010293864914925,67,0.15963898023847012,1.41266300456284,-0.08119765476032748,34,0.11202670914766966,1.0293018186756007,-0.04650214289749843,36,0.4030886753045211,2.0090964539231337,-0.033379486661276325,49,-0.11159396253974119,1.0,0.09078964765235464,0.7585416666666667
10,6616ec9875f0,relative_weakness_reversal,"{""family"": ""relative_weakness_reversal"", ""gap_max"": -0.04, ""market_prev_return_max"": 0.0, ""min_adv20"": 50000000.0, ""mom3_max"": -0.05, ""prev_return_percentile_max"": 0.15}",,0.08,3.0,10,15723.25174033058,0.5723251740330579,0.16352343510812983,0.8250475956216354,-0.15579667078069082,119,48,0.15803452855245684,10,False,-0.12746181953811364,11483.59635963573,0.14835963596357304,0.14773191122941687,1.080164898626837,-0.041773890226315835,26,14,0.10276679841897234,10,False,-0.02680695513001167,14257.431364887989,0.4257431364887989,0.4297944926261934,1.6146937519257982,-0.037360210686139705,50,19,0.2,10,False,-0.03736021068613986,0.12200334894537024,1.1454427676675856,-0.05142938388625584,27,0.2901902610167657,0.939669183966323,-0.15579667078069082,62,0.08616162648475112,0.7540839140832214,-0.08731504722581385,30,0.14835963596357304,1.080164898626837,-0.041773890226315835,26,0.4257431364887989,1.6146937519257982,-0.037360210686139705,50,-0.25511730300520163,1.0,0.08616162648475112,0.7570211038961039
