policy_rank,variant_id,family,base_config_json,stop_loss,take_profit,leverage,max_positions,train_final_equity,train_total_return,train_cagr,train_sharpe,train_max_drawdown,train_trades,train_traded_days,train_average_positions,train_max_positions_used,train_blown_up,train_worst_day,validation_final_equity,validation_total_return,validation_cagr,validation_sharpe,validation_max_drawdown,validation_trades,validation_traded_days,validation_average_positions,validation_max_positions_used,validation_blown_up,validation_worst_day,diagnostic_2025_final_equity,diagnostic_2025_total_return,diagnostic_2025_cagr,diagnostic_2025_sharpe,diagnostic_2025_max_drawdown,diagnostic_2025_trades,diagnostic_2025_traded_days,diagnostic_2025_average_positions,diagnostic_2025_max_positions_used,diagnostic_2025_blown_up,diagnostic_2025_worst_day,y2021_return,y2021_sharpe,y2021_max_drawdown,y2021_trades,y2022_return,y2022_sharpe,y2022_max_drawdown,y2022_trades,y2023_return,y2023_sharpe,y2023_max_drawdown,y2023_trades,y2024_return,y2024_sharpe,y2024_max_drawdown,y2024_trades,y2025_return,y2025_sharpe,y2025_max_drawdown,y2025_trades,policy_sharpe_stability,policy_positive_year_share_2021_2024,policy_worst_year_return_2021_2024,policy_selection_score
1674,1feb6e675ae3,oversold_5d_reversal,"{""family"": ""oversold_5d_reversal"", ""max_abs_gap"": 0.05, ""min_adv20"": 50000000.0, ""mom5_max"": -0.2, ""prev_return_percentile_max"": 0.3}",,0.06,3.0,7,8192.733977795671,-0.1807266022204329,-0.06453405315268157,-0.022719822716121198,-0.5482080812950321,281,151,0.37317397078353254,7,False,-0.36104251944754656,10739.39655483187,0.07393965548318704,0.07363689893739767,0.566991285446471,-0.09314388108206073,98,64,0.38735177865612647,4,False,-0.03461877302581083,11270.399095079909,0.12703990950799082,0.1281187290272514,0.5208925900540033,-0.21175778336588902,142,84,0.568,7,False,-0.211757783365889,-0.3461634530920774,-0.8908130528920614,-0.432863550313067,33,-0.003416132359128299,0.17975752450983296,-0.28596653798148297,166,0.2573199551075347,1.4819692914523663,-0.0528771474760541,82,0.07393965548318704,0.566991285446471,-0.09314388108206073,98,0.12703990950799082,0.5208925900540033,-0.21175778336588902,142,-0.5897111081625922,0.5,-0.3461634530920774,0.20316829004329007
1675,41de34fe07c6,oversold_5d_reversal,"{""family"": ""oversold_5d_reversal"", ""max_abs_gap"": 0.08, ""min_adv20"": 50000000.0, ""mom5_max"": -0.2, ""prev_return_percentile_max"": 0.3}",,0.04,2.0,10,9984.737319738853,-0.0015262680261146633,-0.0005110424912544431,0.07430350806161179,-0.20496108137314317,305,155,0.4050464807436919,10,False,-0.1684865090755217,10321.698298822148,0.03216982988221484,0.03204066082024304,0.5595854699716816,-0.0424986219504796,101,65,0.39920948616600793,4,False,-0.016155427412045054,10821.585934198254,0.08215859341982545,0.08284236776377507,0.5351543064298973,-0.12122030258723748,154,85,0.616,10,False,-0.12122030258723751,-0.12080937584362783,-0.6396531933447934,-0.1891223929315652,37,0.07900370837489779,0.5303356318822575,-0.07016212490281581,180,0.052520730607328536,0.7241769676079332,-0.044276729074284815,88,0.03216982988221484,0.5595854699716816,-0.0424986219504796,101,0.08215859341982545,0.5351543064298973,-0.12122030258723748,154,-0.4852819619100698,0.75,-0.12080937584362783,0.20271915584415587
1676,41de34fe07c6,oversold_5d_reversal,"{""family"": ""oversold_5d_reversal"", ""max_abs_gap"": 0.08, ""min_adv20"": 50000000.0, ""mom5_max"": -0.2, ""prev_return_percentile_max"": 0.3}",,0.04,2.5,10,9866.188777494806,-0.01338112225051935,-0.004498228315421793,0.07430350806161182,-0.25458931767350135,305,155,0.4050464807436919,10,False,-0.21060813634440217,10397.985354221297,0.039798535422129744,0.03963815176479146,0.5595854699716817,-0.0528986277846184,101,65,0.39920948616600793,4,False,-0.020194284265056317,10979.20824483148,0.09792082448314798,0.09874165774332178,0.5351543064298974,-0.15152537823404688,154,85,0.616,10,False,-0.15152537823404688,-0.15389694591930603,-0.6396531933447939,-0.2350872927293668,37,0.09474448963419246,0.5303356318822574,-0.0877026561285198,180,0.06515642254137588,0.7241769676079333,-0.055344027877301416,88,0.039798535422129744,0.5595854699716817,-0.0528986277846184,101,0.09792082448314798,0.5351543064298974,-0.15152537823404688,154,-0.4852819619100699,0.75,-0.15389694591930603,0.2022267316017316
1677,1feb6e675ae3,oversold_5d_reversal,"{""family"": ""oversold_5d_reversal"", ""max_abs_gap"": 0.05, ""min_adv20"": 50000000.0, ""mom5_max"": -0.2, ""prev_return_percentile_max"": 0.3}",,0.06,2.5,10,9542.871705142334,-0.045712829485766604,-0.015537052497910375,0.02082769052408548,-0.33344626602167826,291,151,0.38645418326693226,10,False,-0.21060813634440217,10450.464905655117,0.04504649056551169,0.04486450568858702,0.5669912854464708,-0.05520449767881663,98,64,0.38735177865612647,4,False,-0.020194284265056317,11772.82133828931,0.177282133828931,0.17882027742323414,0.7776632124836236,-0.12352537363010196,148,84,0.592,10,False,-0.1235253736301019,-0.19901013061754547,-0.8908130528920614,-0.2632898351060462,33,0.03918583360540584,0.2792057199976133,-0.15162961212356185,176,0.1464598346338022,1.4819692914523663,-0.03071812679079844,82,0.04504649056551169,0.5669912854464708,-0.05520449767881663,98,0.177282133828931,0.7776632124836236,-0.12352537363010196,148,-0.5461635949223853,0.75,-0.19901013061754547,0.2019724025974026
1678,74c8ee418b1f,oversold_5d_reversal,"{""family"": ""oversold_5d_reversal"", ""max_abs_gap"": 0.02, ""min_adv20"": 50000000.0, ""mom5_max"": -0.2, ""prev_return_percentile_max"": 0.3}",0.03,,1.0,20,9859.823357915186,-0.014017664208481384,-0.0047132184109187625,-0.19487953770628588,-0.04024522971843136,229,128,0.3041168658698539,12,False,-0.010144361096783351,10075.099218452202,0.007509921845220147,0.007480127617862209,0.5203047871955858,-0.008089461455427549,82,58,0.3241106719367589,3,False,-0.0029684166896932845,11516.387284204739,0.15163872842047388,0.15294022458213274,1.0314151747288516,-0.017403704112989415,133,75,0.532,20,False,-0.0048000000000000004,-0.008373069748082496,-0.9872032712222867,-0.014318317194748742,21,0.0016172597674808387,0.06252737231079895,-0.03131629571916006,140,-0.00729771358680098,-0.5427341957944876,-0.02202626169498134,68,0.007509921845220147,0.5203047871955858,-0.008089461455427549,82,0.15163872842047388,1.0314151747288516,-0.017403704112989415,133,-0.7151843249018717,0.5,-0.008373069748082496,0.20190746753246752
1679,1feb6e675ae3,oversold_5d_reversal,"{""family"": ""oversold_5d_reversal"", ""max_abs_gap"": 0.05, ""min_adv20"": 50000000.0, ""mom5_max"": -0.2, ""prev_return_percentile_max"": 0.3}",,0.06,2.0,7,9141.388957108828,-0.0858611042891172,-0.029596652347095298,-0.02271982271612104,-0.3933139366904249,281,151,0.37317397078353254,7,False,-0.240695012965031,10510.544891812213,0.05105448918122124,0.0508476473247903,0.566991285446471,-0.0628906097831704,98,64,0.38735177865612647,4,False,-0.02307918201720722,10985.257267493396,0.09852572674933957,0.09935185643024758,0.5208925900540031,-0.1411718555772593,142,84,0.568,7,False,-0.14117185557725934,-0.22813607559811455,-0.8908130528920614,-0.2984038511340844,33,0.013781775025629717,0.17975752450983304,-0.19650657339018207,166,0.16822626282802622,1.4819692914523666,-0.035136383682190075,82,0.05105448918122124,0.566991285446471,-0.0628906097831704,98,0.09852572674933957,0.5208925900540031,-0.1411718555772593,142,-0.5897111081625921,0.75,-0.22813607559811455,0.20189123376623375
1680,beaedd39926f,oversold_5d_reversal,"{""family"": ""oversold_5d_reversal"", ""max_abs_gap"": 0.08, ""min_adv20"": 50000000.0, ""mom5_max"": -0.2, ""prev_return_percentile_max"": 0.3}",,0.08,1.75,5,7774.158520924886,-0.22258414790751135,-0.08080867699664329,-0.17832983092823942,-0.4824776255607288,279,155,0.3705179282868526,5,False,-0.294851390882163,10722.356090568412,0.07223560905684123,0.07194006104109985,0.6265476530668663,-0.0783054829094566,101,65,0.39920948616600793,4,False,-0.028271997971078842,12633.18350215713,0.26331835021571304,0.26568288344079116,0.9947755029231815,-0.1470249557835931,141,85,0.564,5,False,-0.14702495578359315,-0.26928384244982695,-0.8311055235367774,-0.3600180122172535,37,-0.04245420002461919,-0.0033271702129093325,-0.27005012976585874,156,0.11107947704800614,0.754842697433839,-0.06098013774693223,86,0.07223560905684123,0.6265476530668663,-0.0783054829094566,101,0.26331835021571304,0.9947755029231815,-0.1470249557835931,141,-0.8048774839951057,0.5,-0.26928384244982695,0.20186958874458877
1681,41de34fe07c6,oversold_5d_reversal,"{""family"": ""oversold_5d_reversal"", ""max_abs_gap"": 0.08, ""min_adv20"": 50000000.0, ""mom5_max"": -0.2, ""prev_return_percentile_max"": 0.3}",,0.04,3.0,10,9699.184128531786,-0.03008158714682141,-0.010169605622516786,0.07430350806161186,-0.30347825098010095,305,155,0.4050464807436919,10,False,-0.2527297636132826,10472.528384531508,0.04725283845315076,0.04706174097643179,0.5595854699716815,-0.06320989796781729,101,65,0.39920948616600793,4,False,-0.02423314111806758,11114.340616593174,0.11143406165931746,0.11237385287004709,0.5351543064298976,-0.18183045388085617,154,85,0.616,10,False,-0.18183045388085625,-0.18815878778160078,-0.6396531933447939,-0.2805265070060998,37,0.10870745332037912,0.5303356318822574,-0.10524318735422389,180,0.07757409637154211,0.724176967607933,-0.06640635142665707,88,0.04725283845315076,0.5595854699716815,-0.06320989796781729,101,0.11143406165931746,0.5351543064298976,-0.18183045388085617,154,-0.4852819619100696,0.75,-0.18815878778160078,0.2018560606060606
1682,64e5823093b4,oversold_5d_reversal,"{""family"": ""oversold_5d_reversal"", ""max_abs_gap"": 0.05, ""min_adv20"": 50000000.0, ""mom5_max"": -0.2, ""prev_return_percentile_max"": 0.3}",,,2.0,5,7309.832005949487,-0.2690167994050513,-0.09955940797022911,-0.18441745750461794,-0.5509131677100021,266,151,0.35325365205843295,5,False,-0.3369730181510434,10820.477006758309,0.08204770067583089,0.08171049963802979,0.6179984536337232,-0.08715567850960249,98,64,0.38735177865612647,4,False,-0.03231085482409011,14406.980788603778,0.4406980788603778,0.4449125421842386,0.963457662525579,-0.168028520895535,137,84,0.548,5,False,-0.16802852089553505,-0.3221715847692417,-0.8886262086587489,-0.40672810896995804,33,-0.08845809622490364,-0.10588943162512686,-0.3253909648298129,153,0.18307148570455167,1.072313410441551,-0.06927145363518028,80,0.08204770067583089,0.6179984536337232,-0.08715567850960249,98,0.4406980788603778,0.963457662525579,-0.168028520895535,137,-0.8024159111383411,0.5,-0.3221715847692417,0.20167207792207795
1683,7cddbcb36132,oversold_5d_reversal,"{""family"": ""oversold_5d_reversal"", ""max_abs_gap"": 0.08, ""min_adv20"": 100000000.0, ""mom5_max"": -0.2, ""prev_return_percentile_max"": 0.3}",,0.04,1.25,10,9928.43356732053,-0.0071566432679470715,-0.0024007768212722658,0.020767102067801173,-0.12919048025372326,289,153,0.3837981407702523,10,False,-0.10530406817220109,10178.459738317562,0.017845973831756234,0.017774813179774362,0.4954626476442333,-0.026731007410412233,100,65,0.3952569169960474,4,False,-0.010097142132528159,10546.7199742124,0.05467199742123996,0.05512121302922335,0.5351543064298974,-0.07576268911702344,154,85,0.616,10,False,-0.07576268911702344,-0.0733581287662659,-0.6396531933447939,-0.11918864166518284,37,0.0440851707884764,0.4640031468652163,-0.04380203381930092,169,0.026202070084038187,0.6008113208050077,-0.03311004734193468,83,0.017845973831756234,0.4954626476442333,-0.026731007410412233,100,0.05467199742123996,0.5351543064298974,-0.07576268911702344,154,-0.4746955455764321,0.75,-0.0733581287662659,0.2010633116883117
