policy_rank,variant_id,family,base_config_json,stop_loss,take_profit,leverage,max_positions,train_final_equity,train_total_return,train_cagr,train_sharpe,train_max_drawdown,train_trades,train_traded_days,train_average_positions,train_max_positions_used,train_blown_up,train_worst_day,validation_final_equity,validation_total_return,validation_cagr,validation_sharpe,validation_max_drawdown,validation_trades,validation_traded_days,validation_average_positions,validation_max_positions_used,validation_blown_up,validation_worst_day,diagnostic_2025_final_equity,diagnostic_2025_total_return,diagnostic_2025_cagr,diagnostic_2025_sharpe,diagnostic_2025_max_drawdown,diagnostic_2025_trades,diagnostic_2025_traded_days,diagnostic_2025_average_positions,diagnostic_2025_max_positions_used,diagnostic_2025_blown_up,diagnostic_2025_worst_day,y2021_return,y2021_sharpe,y2021_max_drawdown,y2021_trades,y2022_return,y2022_sharpe,y2022_max_drawdown,y2022_trades,y2023_return,y2023_sharpe,y2023_max_drawdown,y2023_trades,y2024_return,y2024_sharpe,y2024_max_drawdown,y2024_trades,y2025_return,y2025_sharpe,y2025_max_drawdown,y2025_trades,policy_sharpe_stability,policy_positive_year_share_2021_2024,policy_worst_year_return_2021_2024,policy_selection_score
1,2dcede8980c5,gap_down_reversal,"{""family"": ""gap_down_reversal"", ""gap_max"": -0.04, ""market_prev_return_max"": null, ""min_adv20"": 50000000.0, ""mom3_max"": -0.05, ""prev_return_max"": -0.02}",,0.06,3.0,7,17039.74496803057,0.7039744968030568,0.19525825381260153,0.9177078561358599,-0.22017832994927622,131,65,0.17397078353253653,7,False,-0.14375014778418485,11678.300952065429,0.1678300952065428,0.16711416529138723,1.0293018186756007,-0.06951777957986582,36,23,0.1422924901185771,7,False,-0.03829565018573095,16448.030257114173,0.6448030257114172,0.6513639799312574,2.0090964539231337,-0.049825438197465544,49,21,0.196,7,False,-0.031154926668947893,0.13542570866232073,0.9565475131710166,-0.07347054840893719,30,0.20712232787424623,0.7549534841224014,-0.22017832994927622,67,0.24323458755137706,1.4126630045628399,-0.12072406029214688,34,0.1678300952065428,1.0293018186756007,-0.06951777957986582,36,0.6448030257114172,2.0090964539231337,-0.049825438197465544,49,-0.11159396253974074,1.0,0.13542570866232073,0.7676920995670995
2,6616ec9875f0,relative_weakness_reversal,"{""family"": ""relative_weakness_reversal"", ""gap_max"": -0.04, ""market_prev_return_max"": 0.0, ""min_adv20"": 50000000.0, ""mom3_max"": -0.05, ""prev_return_percentile_max"": 0.15}",,0.08,2.5,5,18642.25661877668,0.8642256618776678,0.23175799084341797,0.9702531378406443,-0.15060403878256878,96,48,0.12749003984063745,5,False,-0.10149016533438919,11436.725745705842,0.14367257457058424,0.14306589003120007,0.9813517194611564,-0.0691313010976744,21,14,0.08300395256916997,5,False,-0.044678258550019445,17604.884952955665,0.7604884952955664,0.7684722800732429,2.150918521300971,-0.04970814439910287,40,19,0.16,5,False,-0.036347414447105875,0.15732709267393008,0.9402086536469223,-0.08571563981042662,22,0.33210094583351646,1.005373274839434,-0.150604038782569,47,0.20921973189166154,1.1206881314981314,-0.14347167500482472,27,0.14367257457058424,0.9813517194611564,-0.0691313010976744,21,0.7604884952955664,2.150918521300971,-0.04970814439910287,40,-0.011098581620512138,1.0,0.14367257457058424,0.7663771645021645
1338,17108c7f1cda,oversold_5d_reversal,"{""family"": ""oversold_5d_reversal"", ""max_abs_gap"": 0.05, ""min_adv20"": 50000000.0, ""mom5_max"": -0.2, ""prev_return_percentile_max"": 0.3}",,0.08,1.0,20,10134.049779052975,0.0134049779052976,0.004466270062689182,0.12649138212830563,-0.07712542102379794,306,151,0.4063745019920319,17,False,-0.04212162726888043,10121.851516248975,0.012185151624897417,0.012136697880056557,0.708302019579535,-0.011239190309030755,98,64,0.38735177865612647,4,False,-0.004038856853011264,11053.63205420604,0.10536320542060396,0.10624938946039464,1.124714941328619,-0.02470507472602035,163,84,0.652,20,False,-0.024705074726020383,-0.04061164395594641,-0.9305770903166031,-0.05516174469412283,33,0.02536354526940654,0.4838286746467916,-0.03581273113022543,191,0.030174313990448898,1.4307190487487618,-0.008772695706271705,82,0.012185151624897417,0.708302019579535,-0.011239190309030755,98,0.10536320542060396,1.124714941328619,-0.02470507472602035,163,-0.5818106374512293,0.75,-0.04061164395594641,0.3155330086580087
